Place,Parent,MapSheet,UF,BT
Delubra,SE Qld,G5605,,Mundubbera map area (SE Qld SG56-05)
Eidsvold,SE Qld,G5605,,Mundubbera map area (SE Qld SG56-05)
Mundubbera,SE Qld,G5605,,Mundubbera map area (SE Qld SG56-05)
Maryborough map area,SE Qld,G5606,,"South East Queensland (SE Qld SG56, SH56)"
Childers,SE Qld,G5606,,Maryborough map area (SE Qld SG56-06)
Kgari / Fraser Island,SE Qld,G5603,Fraser Island;KGari / Fraser Island,Fraser Island map area (SE Qld SG56-03)
Bogimbah,"Fraser Island, SE Qld",G5603,,KGari / Fraser Island (SE Qld SG56-03)
Gayndah,SE Qld,G5606,,Maryborough map area (SE Qld SG56-06)
Hervey Bay,SE Qld ,G5602,,Maryborough map area (SE Qld SG56-06)
Hervey Bay,SE Qld ,G5606,,Maryborough map area (SE Qld SG56-06)
Maryborough,SE Qld,G5606,,Maryborough map area (SE Qld SG56-06)
Urangan,SE Qld,G5606,,Maryborough map area (SE Qld SG56-06)
Chinchilla map area,SE Qld,G5609,,"South East Queensland (SE Qld SG56, SH56)"
Boondooma,SE Qld,G5609,,Chinchilla map area (SE Qld SG56-09)
Chinchilla,SE Qld,G5609,,Chinchilla map area (SE Qld SG56-09)
Jandowae,SE Qld,G5609,,Chinchilla map area (SE Qld SG56-09)
Gympie map area,SE Qld,G5610,,"South East Queensland (SE Qld SG56, SH56)"
Brooloo,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Buderim,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Bunya Mountains,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Caloundra,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Cherbourg / Barambah,SE Qld,G5610,Barambah,Gympie map area (SE Qld SG56-10)
Coochin,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Cooloola area,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Cooyar,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Gallangowan,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Gympie,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Imbil,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Kenilworth,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Kilcoy,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Kingaroy,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Maleny,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Manumbar,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Maroochy River / Maroochydore,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Mooloolah,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Murgon,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Nambour,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Nanango,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Noosa / Tewantin,SE Qld,G5610,Tewantin,Gympie map area (SE Qld SG56-10)
Pomona,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Stuart River,SE Qld ,G5609,,Gympie map area (SE Qld SG56-10)
Stuart River,SE Qld ,G5610,,Gympie map area (SE Qld SG56-10)
Wondai,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Dalby map area,SE Qld,G5613,,"South East Queensland (SE Qld SG56, SH56)"
Dalby,SE Qld,G5613,,Dalby map area (SE Qld SG56-13)
Ipswich map area,SE Qld,G5614,,"South East Queensland (SE Qld SG56, SH56)"
Beaudesert,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Boonah,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Cressbrook Creek,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Deebing Creek,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Drayton,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Fassifern Valley,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Forest Hill,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Gatton,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Ipswich,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Lockyer,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Purga,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Talgai,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Toowoomba,SE Qld,G5614,,Ipswich map area (SE Qld SG56-14)
Brisbane map area,SE Qld,G5615,,"South East Queensland (SE Qld SG56, SH56)"
Albert / Logan Rivers,SE Qld,G5615,Logan River;Albert River,Brisbane map area (SE Qld SG56-15)
Bilambil,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Bribie Island,SE Qld ,G5615,,Brisbane map area (SE Qld SG56-15)
Bribie Island,SE Qld ,G5610,,Brisbane map area (SE Qld SG56-15)
Meanjin / Brisbane,SE Qld,G5615,Brisbane,Brisbane map area (SE Qld SG56-15)
Inala,"Brisbane, SE Qld",G5615,,Brisbane (SE Qld SG56-15)
Nudgee,"Brisbane, SE Qld",G5615,,Brisbane (SE Qld SG56-15)
Nundah / Zions Hill,"Brisbane, SE Qld",G5615,Zions Hill,Brisbane (SE Qld SG56-15)
Wynnum,"Brisbane, SE Qld",G5615,,Brisbane (SE Qld SG56-15)
Caboolture,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Coomera,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Durundur,SE Qld,G5610,,Gympie map area (SE Qld SG56-10)
Glass House Mountains,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Gold Coast,SE Qld ,G5615,,Brisbane map area (SE Qld SG56-15)
Indooroopilly,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Mulgumpin / Moreton Island,SE Qld,G5615,Moreton Island,Brisbane map area (SE Qld SG56-15)
Mount Tamborine,SE Qld,G5615,"Tamborine, Mount",Brisbane map area (SE Qld SG56-15)
Pulan / Amity Point,SE Qld,G5615,Amity Point,Minjerribah / North Stradbroke Island (SE Qld SG56-15)
Goompi / Dunwich,SE Qld,G5615,Dunwich,Minjerribah / North Stradbroke Island (SE Qld SG56-15)
Myora / Moongalba,SE Qld,G5615,Moongalba,Minjerribah / North Stradbroke Island (SE Qld SG56-15)
Wallen Wallen,SE Qld,G5615,,Minjerribah / North Stradbroke Island (SE Qld SG56-15)
Nerang,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Jercuruba / Peel Island,SE Qld,G5615,Peel Island,Brisbane map area (SE Qld SG56-15)
Pimpama,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
St Helena Island,"Moreton Bay, SE Qld",G5615,,Brisbane map area (SE Qld SG56-15)
Toorbul,SE Qld,G5615,,Brisbane map area (SE Qld SG56-15)
Goondiwindi map area,SE Qld,H5601,,"South East Queensland (SE Qld SG56, SH56)"
Boggabilla,N NSW,H5601,,Goondiwindi map area (N NSW SH56-01)
Goondiwindi,SE Qld,H5601,,Goondiwindi map area (SE Qld SH56-01)
Kildonan,SE Qld,H5601,,Goondiwindi map area (SE Qld SH56-01)
Warwick map area,SE Qld,H5602,,"South East Queensland (SE Qld SG56, SH56)"
Bapaume,SE Qld,H5602,,Warwick map area (SE Qld SH56-02)
Pratten / Darkey Flat,SE Qld,H5602,Darkey Flat,Warwick map area (SE Qld SH56-02)
Stanthorpe,SE Qld,H5602,,Warwick map area (SE Qld SH56-02)
Warwick,SE Qld,H5602,,Warwick map area (SE Qld SH56-02)
Milparinka map area,NW NSW,H5407,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Binerah,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Lake Yantara,NW NSW,H5407,Yantara Lake,Milparinka map area (NW NSW SH54-07)
Milparinka,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Pindera Downs,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Stud Creek,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Tibooburra,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Yandama,NW NSW,H5407,,Milparinka map area (NW NSW SH54-07)
Urisino map area,NW NSW,H5408,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Clifton Downs,NW NSW,H5408,,Urisino map area (NW NSW SH54-08)
Narriearra,NW NSW,H5408,,Urisino map area (NW NSW SH54-08)
Teurika,NW NSW,H5408,,Urisino map area (NW NSW SH54-08)
Yantabulla map area,NW NSW,H5505,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Goombalie,NW NSW,H5505,,Yantabulla map area (NW NSW SH55-05)
Cobham Lake map area,NW NSW,H5411,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Cobham / Gnurntah Lake,NW NSW,H5411,Gnurntah Lake;Lake Gnurntah;Lake Cobham,Cobham Lake map area (NW NSW SH54-11)
Nuntherungie,NW NSW,H5411,,Cobham Lake map area (NW NSW SH54-11)
Teilta,NW NSW,H5411,,Cobham Lake map area (NW NSW SH54-11)
White Cliffs map area,NW NSW,H5412,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Allandy,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Bootra,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Box Vale,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Cawnalmurtee,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Peery,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Wertago,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
White Cliffs,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Youltoo,NW NSW,H5412,,White Cliffs map area (NW NSW SH54-12)
Louth map area,NW NSW,H5509,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Louth,NW NSW,H5509,,Louth map area (NW NSW SH55-09)
Polocara,NW NSW,H5509,,Louth map area (NW NSW SH55-09)
Winbar,NW NSW,H5509,,Louth map area (NW NSW SH55-09)
Broken Hill map area,NW NSW,H5415,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Bijerkerno,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Broken Hill,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Euriowie,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Gnalta,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Mutawintji / Mootwingee / Mutanie,NW NSW,H5415,Mutawintji;Mootwingee;Mutanie,Broken Hill map area (NW NSW SH54-15)
Silverton,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Sturts Meadows,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Waterbag,NW NSW,H5415,,Broken Hill map area (NW NSW SH54-15)
Wilcannia map area,NW NSW,H5416,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Billilla,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Copago,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Lake Woytchugga,NW NSW,H5416,"Woytchugga, Lake",Wilcannia map area (NW NSW SH54-16)
Menamurtee,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Mount Murchison,NW NSW,H5416,"Murchison, Mount",Wilcannia map area (NW NSW SH54-16)
Murtee,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Wilcannia,NW NSW,H5416,,Wilcannia map area (NW NSW SH54-16)
Barnato map area,NW NSW,H5513,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Kaleno,NW NSW,H5513,,Barnato map area (NW NSW SH55-13)
Mount Grenfell,NW NSW,H5513,"Grenfell, Mount",Barnato map area (NW NSW SH55-13)
Menindee map area,NW NSW,I5403,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Burkes Cave,NW NSW,I5403,,Menindee map area (NW NSW SI54-03)
Cawndilla,NW NSW,I5403,Lake Cawndilla,Menindee map area (NW NSW SI54-03)
Kinchega,NW NSW,I5403,,Menindee map area (NW NSW SI54-03)
Lake Menindee,Willandra NW NSW,I5403,"Menindee, Lake",Menindee map area (NW NSW SI54-03)
Lake Tandou,Willandra NW NSW,I5403,"Tandou, Lake",Menindee map area (NW NSW SI54-03)
Menindee,NW NSW,I5403,,Menindee map area (NW NSW SI54-03)
Manara map area,NW NSW,I5404,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Ivanhoe map area,NW NSW,I5501,,"Northwest New South Wales (NW NSW SH54, SH55, SI54)"
Carowra,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Coombie,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Ivanhoe,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Yelty,NW NSW,I5501,,Ivanhoe map area (NW NSW SI55-01)
Castlereagh River,N NSW ,H5511,,"Northern New South Wales (N NSW SH55, SH56)"
Castlereagh River,N NSW ,H5515,,"Northern New South Wales (N NSW SH55, SH56)"
Castlereagh River,N NSW ,H5516,,"Northern New South Wales (N NSW SH55, SH56)"
Macquarie River,"N NSW SH55-11, ",H5511,,"Northern New South Wales (N NSW SH55, SH56)"
Macquarie River,"N NSW SH55-11, ",H5515,,"Northern New South Wales (N NSW SH55, SH56)"
Macquarie River,"N NSW SH55-11, ",I5503,,"Northern New South Wales (N NSW SH55, SH56)"
Macquarie River,"N NSW SH55-11, ",I5504,,"Northern New South Wales (N NSW SH55, SH56)"
St George map area,N NSW,H5504,,"Northern New South Wales (N NSW SH55, SH56)"
Euraba,N NSW,H5504,,St George map area (N NSW SH55-04)
Mungindi,N NSW,H5504,,St George map area (N NSW SH55-04)
Goondiwindi map area,N NSW,H5601,,"Northern New South Wales (N NSW SH55, SH56)"
Toomelah,N NSW,H5601,,Goondiwindi map area (N NSW SH56-01)
Yetman,N NSW,H5601,,Goondiwindi map area (N NSW SH56-01)
Enngonia map area,N NSW,H5506,,"Northern New South Wales (N NSW SH55, SH56)"
Brewarrina,N NSW,H5506,,Enngonia map area (N NSW SH55-06)
Enngonia,N NSW,H5506,,Enngonia map area (N NSW SH55-06)
Hospital Creek,N NSW,H5506,,Enngonia map area (N NSW SH55-06)
Multagoona,N NSW,H5506,,Enngonia map area (N NSW SH55-06)
Weilmoringle,N NSW,H5506,,Enngonia map area (N NSW SH55-06)
Angledool map area,N NSW,H5507,,"Northern New South Wales (N NSW SH55, SH56)"
Angledool,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Bokhara River,"N NSW, SW Qld",H5507,,Angledool map area (N NSW SH55-07)
Bokhara River,"N NSW, SW Qld",H5503,,Angledool map area (N NSW SH55-07)
Coorigul Springs,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Cumborah,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Dungalear,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Gingie,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Goodooga,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Lightning Ridge,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Narran / Terewah Lake,N NSW,H5507,Terewah Lake,Angledool map area (N NSW SH55-07)
Narran River,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Tucki / Bangate,N NSW,H5507,Bangate,Angledool map area (N NSW SH55-07)
Wirrabilla,N NSW,H5507,,Angledool map area (N NSW SH55-07)
Moree map area,N NSW,H5508,,"Northern New South Wales (N NSW SH55, SH56)"
Collarenebri,N NSW,H5508,,Moree map area (N NSW SH55-08)
Collymongle,N NSW,H5508,,Moree map area (N NSW SH55-08)
Mogil Mogil,N NSW,H5508,,Moree map area (N NSW SH55-08)
Moree,N NSW,H5508,,Moree map area (N NSW SH55-08)
Mount Waa / Waa Gorge,N NSW,H5508,"Waa Gorge;Waa, Mount",Moree map area (N NSW SH55-08)
Inverell map area,N NSW,H5605,,"Northern New South Wales (N NSW SH55, SH56)"
Ashford,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Bonshaw,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Goonoowigall,N NSW,H5605,Sheep Station Gully,Inverell map area (N NSW SH56-05)
Graman,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Gravesend,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Gwydir,,H5605,,Inverell map area (N NSW SH56-05)
Inverell,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Keera,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Lawson,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Myall Creek,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Terry Hie Hie,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Tingha / Nucoorilma / Long Gully,N NSW,H5605,Sutherland Waters;Nucoorilma;Long Gully,Inverell map area (N NSW SH56-05)
Warialda,N NSW,H5605,,Inverell map area (N NSW SH56-05)
Bourke map area,N NSW,H5510,,"Northern New South Wales (N NSW SH55, SH56)"
Bogan River,N NSW,H5506,,Bourke map area (N NSW SH55-10)
Bogan River,N NSW,H5510,,Bourke map area (N NSW SH55-10)
Bogan River,N NSW,H5511,,Bourke map area (N NSW SH55-10)
Bogan River,N NSW,H5515,,Bourke map area (N NSW SH55-10)
Murdi Paaki / Bourke,N NSW,H5510,Bourke,Bourke map area (N NSW SH55-10)
Byrock,N NSW,H5510,,Bourke map area (N NSW SH55-10)
Gunderbooka,N NSW,H5510,,Bourke map area (N NSW SH55-10)
Mulgowan,N NSW,H5510,,Bourke map area (N NSW SH55-10)
Walgett map area,N NSW,H5511,,"Northern New South Wales (N NSW SH55, SH56)"
Come By Chance,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Coonamble,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Cuddie Springs,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Dennewan,"Coonamble, N NSW",H5511,,Walgett map area (N NSW SH55-11)
Pilligawarrina,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Walgett,N NSW,H5511,,Walgett map area (N NSW SH55-11)
Narrabri map area,N NSW,H5512,,"Northern New South Wales (N NSW SH55, SH56)"
Baradine,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Mandalay,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Namoi River,N NSW ,H5512,,Narrabri map area (N NSW SH55-12)
Namoi River,N NSW ,H5609,,Narrabri map area (N NSW SH55-12)
Narrabri,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Pilliga,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Tarella,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Wee Waa,N NSW,H5512,,Narrabri map area (N NSW SH55-12)
Manilla map area,N NSW,H5609,,"Northern New South Wales (N NSW SH55, SH56)"
Attunga / Moore Creek,N NSW,H5609,Moore Creek,Manilla map area (N NSW SH56-09)
Barraba,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Bendemeer,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Boggabri,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Bundarra,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Gunnedah,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Liverpool Plains,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Manilla,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Thirldene,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Yarrowyck,N NSW,H5609,,Manilla map area (N NSW SH56-09)
Cobar map area,N NSW,H5514,,"Northern New South Wales (N NSW SH55, SH56)"
Cobar,N NSW,H5514,,Cobar map area (N NSW SH55-14)
Wuttagoona,N NSW,H5514,,Cobar map area (N NSW SH55-14)
Nyngan map area,N NSW,H5515,,"Northern New South Wales (N NSW SH55, SH56)"
Gulargambone,N NSW,H5515,,Nyngan map area (N NSW SH55-15)
Haddon Rig,N NSW,H5515,,Nyngan map area (N NSW SH55-15)
Nevertire,N NSW,H5515,,Nyngan map area (N NSW SH55-15)
Nyngan,N NSW,H5515,,Nyngan map area (N NSW SH55-15)
Warren,N NSW,H5515,,Nyngan map area (N NSW SH55-15)
Gilgandra map area,N NSW,H5516,,"Northern New South Wales (N NSW SH55, SH56)"
Balladoran,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Burra Bee Dee,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Coolah,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Coonabarabran,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Gilgandra,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Lime Springs,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Mendooran,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Talbragar,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Warrumbungle Range,N NSW,H5516,,Gilgandra map area (N NSW SH55-16)
Tamworth map area,N NSW,H5613,,"Northern New South Wales (N NSW SH55, SH56)"
Breeza,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Caroona,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Curlewis,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Dungowan,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Glengowrie,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Kootingal,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Moonbi,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Murrurundi,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Nemingha,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Nundle,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Peel River,N NSW ,H5609,,Tamworth map area (N NSW SH56-13)
Peel River,N NSW ,H5613,,Tamworth map area (N NSW SH56-13)
Quirindi,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Tamworth,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Trinkey,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Werris Creek,N NSW,H5613,,Tamworth map area (N NSW SH56-13)
Nymagee map area,N NSW,I5502,,"Northern New South Wales (N NSW SH55, SH56)"
Narromine map area,N NSW,I5503,,"Northern New South Wales (N NSW SH55, SH56)"
Brooklyn,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Bulgandramine,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Euromedah,N NSW,I5503,Euromedha,Narromine map area (N NSW SI55-03)
Narromine,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Peak Hill,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Tomingley,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Trangie,N NSW,I5503,,Narromine map area (N NSW SI55-03)
Dubbo map area,N NSW,I5504,,"Northern New South Wales (N NSW SH55, SH56)"
Brocklehurst,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Cumnock,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Eulogundy,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Eurunderee,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Gulgong,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Lue,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Mudgee,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Nanima,"Wellington, N NSW",I5504,,Dubbo map area (N NSW SI55-04)
Noola,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Rylstone,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Terramungamine,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Triamble,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Wellington,N NSW,I5504,,Dubbo map area (N NSW SI55-04)
Warwick map area,NSW N Coast,H5602,,New South Wales North Coast (NSW N Coast SH56)
Bonalbo,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Grevillia,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Tabulam,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Tooloom,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Unumgar,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Urbenville,NSW N Coast,H5602,,Warwick map area (NSW N Coast SH56-02)
Woodenbong,NSW N Coast,H5602,Mulli Mulli;Muli Muli,Warwick map area (NSW N Coast SH56-02)
Richmond River,NSW N Coast ,H5602,,Tweed Heads map area (NSW N Coast SH56-03)
Grafton map area,NSW N Coast,H5606,,New South Wales North Coast (NSW N Coast SH56)
Baryulgil,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Blaxlands Flat,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Bull Paddock,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Chambigne,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Coaldale,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Copmanhurst,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Emmaville,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Glen Innes,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Grafton,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Jackys Creek,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Malabugilmah,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Nymboida,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Orara River,NSW N Coast ,H5606,,"New South Wales North Coast (NSW N Coast SH56, SI56)"
Orara River,NSW N Coast ,H5610,,"New South Wales North Coast (NSW N Coast SH56, SI56)"
Seelands,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Tenterfield,NSW N Coast,H5606,Leechs Gully,Grafton map area (NSW N Coast SH56-06)
Wintervale,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Yulgilbar,NSW N Coast,H5606,,Grafton map area (NSW N Coast SH56-06)
Maclean map area,NSW N Coast,H5607,,New South Wales North Coast (NSW N Coast SH56)
Clarence River,NSW N Coast ,H5607,,Maclean map area (NSW N Coast SH56-07)
Clarence River,NSW N Coast ,H5206,,Maclean map area (NSW N Coast SH56-07)
Clarence River,NSW N Coast ,H5202,,Maclean map area (NSW N Coast SH56-07)
Evans Head,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Lanitza,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Lawrence,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Maclean,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Ulgundahi Island,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Yamba,NSW N Coast,H5607,,Maclean map area (NSW N Coast SH56-07)
Dorrigo / Coffs Harbour map areas,NSW N Coast ,H5610,,New South Wales North Coast (NSW N Coast SH56)
Armidale,NSW N Coast,H5610,,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
Bellbrook / Nulla Nulla,NSW N Coast,H5610,Nulla Nulla,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
Bellwood,"Nambucca, NSW N Coast",H5610,,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
Bellingen,NSW N Coast,H5610,,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
Bowraville,NSW N Coast,H5610,,"Dorrigo / Coffs Harbour map areas (NSW N Coast SH56-10, SH56-11)"
