000,001,008,035$a,040$a,040$b,040$c,040$e,191$a,491$a,591$w,591$a,670$a 
00310cz  a2200121   4500,XX3636,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3636,AIAS,,,,Mount Cameron (NW Tas SK55-03),"Cameron, Mount (NW Tas SK55-03)",g,Burnie map area (NW Tas SK55-03),
00387cz  a2200133   4500,XX3637,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3637,AIAS,,,,Preminghana / Mount Cameron West (NW Tas SK55-03),"Cameron, Mount, West (NW Tas SK55-03);Mount Cameron West (NW Tas SK55-03)",g,Burnie map area (NW Tas SK55-03),
00263cz  a2200109   4500,XX3638,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3638,AIAS,,,,Ordnance Point (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00259cz  a2200109   4500,XX3639,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3639,AIAS,,,,Rocky Cape (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00259cz  a2200109   4500,XX3640,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3640,AIAS,,,,Sandy Cape (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00262cz  a2200109   4500,XX3641,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3641,AIAS,,,,Sisters Creek (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00256cz  a2200109   4500,XX3642,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3642,AIAS,,,,Sundown (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00293cz  a2200109   4500,XX3643,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3643,AIAS,,,,Three Hummocks Island (Tas Bass Strait SK55-01),,g,King Island map area (Tas Bass Strait SK55-01),
00286cz  a2200109   4500,XX3644,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3644,AIAS,,,,Trefoil Island (Tas Bass Strait SK55-01),,g,King Island map area (Tas Bass Strait SK55-01),
00256cz  a2200109   4500,XX3645,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3645,AIAS,,,,Turrana (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00259cz  a2200109   4500,XX3646,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3646,AIAS,,,,Ulverstone (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00266cz  a2200109   4500,XX3647,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3647,AIAS,,,,Warragarra (Mersey NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00259cz  a2200109   4500,XX3648,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3648,AIAS,,,,West Point (NW Tas SK55-03),,g,Burnie map area (NW Tas SK55-03),
00287cz  a2200109   4500,XX3649,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3649,AIAS,,,,Woolnorth Point (Tas Bass Strait SK55-01),,g,King Island map area (Tas Bass Strait SK55-01),
00250cz  a2200109   4500,XX3650,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3650,AIAS,,,,North East Tasmania (NE Tas SK55-04),,g,Tasmania (Tas),
00265cz  a2200109   4500,XX3651,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3651,AIAS,,,,Bay of Fires (NE Tas SK55-04),,g,Launceston map area (NE Tas SK55-04),
00314cz  a2200121   4500,XX3652,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3652,AIAS,,,,Cape Portland (NE Tas SK55-04),"Portland, Cape (NE Tas SK55-04)",g,Launceston map area (NE Tas SK55-04),
00328cz  a2200121   4500,XX3653,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3653,AIAS,,,,Larapuna / Eddystone Point (NE Tas SK55-04),Eddystone Point (NE Tas SK55-04),g,Launceston map area (NE Tas SK55-04),
00263cz  a2200109   4500,XX3654,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3654,AIAS,,,,Launceston (NE Tas SK55-04),,g,Launceston map area (NE Tas SK55-04),
00267cz  a2200109   4500,XX3655,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3655,AIAS,,,,Mussel Roe Bay (NE Tas SK55-04),,g,Launceston map area (NE Tas SK55-04),
00287cz  a2200109   4500,XX3656,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3656,AIAS,,,,Swan Island (Tas Bass Strait SK55-02),,g,Flinders Island map area (Tas Bass Strait SK55-02),
00264cz  a2200109   4500,XX3657,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3657,AIAS,,,,Weldborough (NE Tas SK55-04),,g,Launceston map area (NE Tas SK55-04),
00312cz  a2200121   4500,XX3659,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3659,AIAS,,,,Bedlam Walls / Shag Bay (W Tas SK55-05),Shag Bay (W Tas SK55-05),g,Western Tasmania (W Tas SK55-05),
00304cz  a2200121   4500,XX3660,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3660,AIAS,,,,Cape Sorell (W Tas SK55-05),"Sorell, Cape (W Tas SK55-05)",g,Western Tasmania (W Tas SK55-05),
00259cz  a2200109   4500,XX3661,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3661,AIAS,,,,Henty Dunes (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00259cz  a2200109   4500,XX3662,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3662,AIAS,,,,Henty River (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00257cz  a2200109   4500,XX3663,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3663,AIAS,,,,Hibbs Bay (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00264cz  a2200109   4500,XX3664,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3664,AIAS,,,,High Rocky Point (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00258cz  a2200109   4500,XX3665,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3665,AIAS,,,,King River (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00260cz  a2200109   4500,XX3666,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3666,AIAS,,,,Lake Payanna (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00265cz  a2200109   4500,XX3667,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3667,AIAS,,,,Macquarie Harbour (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00267cz  a2200109   4500,XX3668,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3668,AIAS,,,,Sloop Rocks / Point (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00261cz  a2200109   4500,XX3669,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3669,AIAS,,,,Trial Harbour (W Tas SK55-05),,g,Western Tasmania (W Tas SK55-05),
00246cz  a2200109   4500,XX3670,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3670,AIAS,,,,Eastern Tasmania (E Tas SK55-06),,g,Tasmania (Tas),
00260cz  a2200109   4500,XX3671,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3671,AIAS,,,,Bridgewater (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00257cz  a2200109   4500,XX3672,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3672,AIAS,,,,Bothwell (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00257cz  a2200109   4500,XX3673,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3673,AIAS,,,,Buckland (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00252cz  a2200109   4500,XX3674,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3674,AIAS,,,,"Denison River (E Tas SK55-04, SK55-06)",,g,Tasmania (Tas),
00267cz  a2200109   4500,XX3675,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3675,AIAS,,,,Freycinet Peninsula (E Tas SK55-06),,g,Eastern Tasmania (E Tas SK55-06),
00259cz  a2200109   4500,XX3676,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3676,AIAS,,,,Great Lake (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00261cz  a2200109   4500,XX3677,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3677,AIAS,,,,Greens Creek (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00261cz  a2200109   4500,XX3678,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3678,AIAS,,,,Jordan River (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00307cz  a2200121   4500,XX3679,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3679,AIAS,,,,Lake Augusta (E Tas SK55-06),"Augusta, Lake (E Tas SK55-06)",g,Oatlands map area (E Tas SK55-06),
00311cz  a2200121   4500,XX3680,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3680,AIAS,,,,Lake Dulverton (E Tas SK55-06),"Dulverton, Lake (E Tas SK55-06)",g,Oatlands map area (E Tas SK55-06),
00313cz  a2200121   4500,XX3681,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3681,AIAS,,,,Little Swanport (E Tas SK55-06),"Swanport, Little (E Tas SK55-06)",g,Oatlands map area (E Tas SK55-06),
00261cz  a2200109   4500,XX3682,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3682,AIAS,,,,Maria Island (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00259cz  a2200109   4500,XX3683,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3683,AIAS,,,,Meadowbank (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00263cz  a2200109   4500,XX3684,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3684,AIAS,,,,Melton Mowbray (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00257cz  a2200109   4500,XX3685,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3685,AIAS,,,,Osterley (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00259cz  a2200109   4500,XX3686,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3686,AIAS,,,,Oyster Bay (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00256cz  a2200109   4500,XX3687,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3687,AIAS,,,,Swansea (E Tas SK55-06),,g,Oatlands map area (E Tas SK55-06),
00250cz  a2200109   4500,XX3688,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3688,AIAS,,,,South West Tasmania (SW Tas SK55-07),,g,Tasmania (Tas),
00263cz  a2200109   4500,XX3689,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3689,AIAS,,,,Ballawinne (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00269cz  a2200109   4500,XX3690,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3690,AIAS,,,,Bathurst Harbour (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00272cz  a2200109   4500,XX3691,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3691,AIAS,,,,Beginners Luck Cave (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00261cz  a2200109   4500,XX3692,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3692,AIAS,,,,Bond Bay (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00262cz  a2200109   4500,XX3693,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3693,AIAS,,,,Bone Cave (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00264cz  a2200109   4500,XX3694,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3694,AIAS,,,,Deena Reena (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00323cz  a2200121   4500,XX3695,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3695,AIAS,,,,Franklin / Gordon Rivers (SW Tas SK55-07),Gordon River (SW Tas SK55-07),g,Port Davey map area (SW Tas SK55-07),
00264cz  a2200109   4500,XX3696,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3696,AIAS,,,,Ketchem Bay (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00320cz  a2200121   4500,XX3697,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3697,AIAS,,,,Kutikina / Fraser Cave (SW Tas SK55-07),Fraser Cave (SW Tas SK55-07),g,Port Davey map area (SW Tas SK55-07),
00263cz  a2200109   4500,XX3698,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3698,AIAS,,,,Louisa Bay (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00266cz  a2200109   4500,XX3699,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3699,AIAS,,,,Louisa Island (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00330cz  a2200121   4500,XX3700,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3700,AIAS,,,,Maatsuyker / De Witt Islands (SW Tas SK55-07),De Witt Islands (SW Tas SK55-07),g,Port Davey map area (SW Tas SK55-07),
00266cz  a2200109   4500,XX3701,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3701,AIAS,,,,Maxwell River (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00318cz  a2200121   4500,XX3702,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3702,AIAS,,,,Nunamira / Bluff Cave (SW Tas SK55-07),Bluff Cave (SW Tas SK55-07),g,Port Davey map area (SW Tas SK55-07),
00308cz  a2200121   4500,XX3703,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3703,AIAS,,,,Port Davey (SW Tas SK55-07),"Davey, Port (SW Tas SK55-07)",g,Port Davey map area (SW Tas SK55-07),
00264cz  a2200109   4500,XX3704,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3704,AIAS,,,,Prion Beach (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00268cz  a2200109   4500,XX3705,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3705,AIAS,,,,South West Cape (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00267cz  a2200109   4500,XX3706,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3706,AIAS,,,,Stephens Beach (SW Tas SK55-07),,g,Port Davey map area (SW Tas SK55-07),
00326cz  a2200121   4500,XX3707,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3707,AIAS,,,,Wargata Mina / Judds Cavern (SW Tas SK55-07),Judds Cavern (SW Tas SK55-07),g,Port Davey map area (SW Tas SK55-07),
00268cz  a2200109   4500,XX3708,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3708,AIAS,,,,Window Pane Bay (SW Tas SK55-07),,g,South West Tasmania (SW Tas SK55-07),
00250cz  a2200109   4500,XX3709,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3709,AIAS,,,,South East Tasmania (SE Tas SK55-08),,g,Tasmania (Tas),
00262cz  a2200109   4500,XX3710,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3710,AIAS,,,,Adventure Bay (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00261cz  a2200109   4500,XX3711,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3711,AIAS,,,,Bruny Island (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00278cz  a2200109   4500,XX3712,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3712,AIAS,,,,Carlton River / Carlton Bluff (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00258cz  a2200109   4500,XX3713,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3713,AIAS,,,,Coningham (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00253cz  a2200109   4500,XX3714,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3714,AIAS,,,,"Derwent River (SE Tas SK55-08, SK55-06)",,g,Tasmania (Tas),
00255cz  a2200109   4500,XX3715,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3715,AIAS,,,,Hobart (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00265cz  a2200109   4500,XX3716,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3716,AIAS,,,,Nicholls Rivulet (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00312cz  a2200121   4500,XX3717,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3717,AIAS,,,,Huon / Cygnet area (SE Tas SK55-08),Cygnet area (SE Tas SK55-08),g,Hobart map area (SE Tas SK55-08),
00260cz  a2200109   4500,XX3718,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3718,AIAS,,,,Oyster Cove (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00259cz  a2200109   4500,XX3719,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3719,AIAS,,,,Pitt Water (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00260cz  a2200109   4500,XX3720,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3720,AIAS,,,,Port Arthur (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00262cz  a2200109   4500,XX3721,\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX3721,AIAS,,,,Recherche Bay (SE Tas SK55-08),,g,Hobart map area (SE Tas SK55-08),
00253 z  a2200109   4500,XX5566,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX5566,AIAS,,,,Mackay (E Qld SF55-08),,g,Mackay map area (E Qld SF55-08),
00296 z  a2200109   4500,XX36840,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX36840,AIAS,,,,"Jinmium (East Kimberley, North NT SD52-15)",,g,"Auvergne map area (Victoria River, North NT SD52-15)",
00276 z  a2200109   4500,XX37118,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37118,AIAS,,,,Kangaroo Creek (NSW N Coast SH56-06),,g,Grafton map area (NSW N Coast SH56-06),
00285 z  a2200109   4500,XX37120,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37120,AIAS,,,,Lake Allallina (North West Central SA SH54-01),,g,Kopperamanna map area (NE SA SH54-01),
00296 z  a2200109   4500,XX37611,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37611,AIAS,,,,Point Dentrecasteaux (SW WA SI50-10),,g,"Pemberton / Irwin Inlet map areas (SW WA SI50-10, SI50-14)",
00267 z  a2200109   4500,XX37910,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37910,AIAS,,,,Gregory Range (NE Qld SE54-16),,g,Gilberton map area (NE Qld SE54-16),
00287 z  a2200109   4500,XX37947,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37947,AIAS,,,,Chambers Pillar (South Central NT SG53-02),,g,Rodinga map area (South Central NT SG53-02),
00268 z  a2200109   4500,XX37974,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX37974,AIAS,,,,Boobera Lagoon (N NSW SH56-01),,g,Goondiwindi map area (N NSW SH56-01),
00262 z  a2200109   4500,XX38231,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX38231,AIAS,,,,Hampton Plains (WA SH51-10),,g,Kurnalpi map area (SE WA SH51-10),
00301 z  a2200121   4500,XX39314,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX39314,AIAS,,,,Arumpo (SW NSW SI54-08),Aurumpo (SW NSW SI54-08),g,Pooncarie map area (SW NSW SI54-08),
00280 z  a2200109   4500,XX39980,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX39980,AIAS,,,,Tjukurla (Central WA SG52-02),,g,Rawlinson map area (Central WA Warburton SG52-02),
00255 z  a2200109   4500,XX40034,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX40034,AIAS,,,,Sunbury (Vic SJ55-05),,g,Melbourne map area (Vic SJ55-05),
00258 z  a2200109   4500,XX40853,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX40853,AIAS,,,,Boorowa (S NSW S155-12),,g,Goulburn map area (S NSW SI55-12),
00263 z  a2200109   4500,XX40890,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX40890,AIAS,,,,Tjuntjuntjara (SE WA SH52-05),,g,Jubilee map area (SE WA SH52-05),
00274 z  a2200109   4500,XX41028,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX41028,AIAS,,,,Launceston map area (NE Tas SK55-04),,g,North East Tasmania (NE Tas SK55-04),
00302 z  a2200109   4500,XX41485,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX41485,AIAS,,,,Carnarvon (WA South Pilbara / Gascoyne SG49-04),,g,Quobba map area (WA South Pilbara / Gascoyne SG49-04),
00264 z  a2200109   4500,XX41541,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX41541,AIAS,,,,Moreton Bay (SE Qld SG56-15),,g,Brisbane map area (SE Qld SG56-15),
00283 z  a2200109   4500,XX41959,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX41959,AIAS,,,,Middalya (WA West Pilbara SF50-13),,g,Winning Pool map area (WA West Pilbara SF50-13),
00254 z  a2200109   4500,XX42478,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42478,AIAS,,,,Cooyal (N NSW SI55-04),,g,Dubbo map area (N NSW SI55-04),
00263 z  a2200109   4500,XX42479,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42479,AIAS,,,,Glen Davis (NSW N Coast SI56-05),,g,Sydney map area (NSW SI56-05),
00278 z  a2200109   4500,XX42483,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42483,AIAS,,,,Bamboo (Qld NW Cape York SD54-07),,g,Aurukun map area (Qld NW Cape York SD54-07),
00258 z  a2200109   4500,XX42501,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42501,AIAS,,,,Quambone (N NSW SH55-11),,g,Walgett map area (N NSW SH55-11),
00263 z  a2200109   4500,XX42687,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42687,AIAS,,,,Hanson River (Central NT SF53),,g,Northern Territory - Central NT,
00299 z  a2200109   4500,XX42860,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42860,AIAS,,,,Carnarvon Range (Little Sandy Desert WA SG51-05),,g,Nabberu map area (Little Sandy Desert WA SG51-05),
00290 z  a2200109   4500,XX42927,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX42927,AIAS,,,,Orchid Point (Qld NE Cape York SD54-04),,g,Cape Weymouth map area (Qld NE Cape York SD54-04),
00290 z  a2200109   4500,XX43053,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX43053,AIAS,,,,Palmer River (South Central NT SG53-01),,g,Nabberu map area (Little Sandy Desert WA SG51-05),
00305 z  a2200109   4500,XX43184,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX43184,AIAS,,,,"Bradshaw Station (Victoria River, North NT SD52-15)",,g,"Auvergne map area (Victoria River, North NT SD52-15)",
00272 z  a2200109   4500,XX43994,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX43994,AIAS,,,,Valley of Lagoons (NE Qld SE55-09),,g,Einasleigh map area (NE Qld SE55-09),
00266 z  a2200109   4500,XX43995,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX43995,AIAS,,,,Canobie (Qld Far NW SE54-14),,g,Dobbyn map area (Qld Far NW SE54-14),
00264 z  a2200097   4500,,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX44436,AIAS,,,,Violet Vale (Qld SE Cape York SD54-12),,g,Ebagoola map area (Qld SE Cape York SD54-12),
00263 z  a2200109   4500,XX44810,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX44810,AIAS,,,,Yorkeys Knob (NE Qld SE55-02),,g,Cairns map area (NE Qld SE55-02),
00265 z  a2200109   4500,XX45375,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX45375,AIAS,,,,Alexandria (North NT SE53-16),,g,Ranken map area (North NT SE53-16),
00297 z  a2200109   4500,XX45377,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX45377,AIAS,,,,Anuru Bay (West Arnhem Land NT SC53-13),,g,Cobourg Peninsula map area (West Arnhem Land NT SC53-13),
00355 z  a2200121   4500,XX45378,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX45378,AIAS,,,,Irlpme / Bond Springs (South Central NT SF53-14),Bond Springs (South Central NT SF53-14),g,Alice Springs map area (South Central NT SF53-14),
00268 z  a2200109   4500,XX45430,000000\\\\\\\\\\\\\\\\\\\\\\\\\\\a\\\\\\,XX45430,AIAS,,,,Bramston Beach (NE Qld SE55-06),,g,Innisfail map area (NE Qld SE55-06),
